index	degree	radius	color	cluster
ALB	16	16	#1acf66	0
AFM	23	23	#1acf66	0
APOA2	18	18	#8e3cd8	1
APOC3	1	1	#7c5005	2
APOA4	2	2	#7c5005	2
APOM	19	19	#1ed4d6	3
APOA1	20	20	#8e3cd8	1
APOC1	14	14	#16d2a3	4
ATRN	12	12	#1acf66	0
B2M	3	3	#1ed4d6	3
BCHE	22	22	#7c5005	2
BTD	11	11	#1acf66	0
C1S	9	9	#8e3cd8	1
C9	12	12	#8e3cd8	1
C2	3	3	#8e3cd8	1
CFI	4	4	#8e3cd8	1
CLEC3B	2	2	#1acf66	0
CRP	27	27	#1acf66	0
ECM1	18	18	#16d2a3	4
AGT	6	6	#16d2a3	4
AHSG	20	20	#1ed4d6	3
CPN2	2	2	#16d2a3	4
F10	1	1	#16d2a3	4
F12	2	2	#1ed4d6	3
F13A1	4	4	#16d2a3	4
F13B	7	7	#16d2a3	4
FCGBP	13	13	#1ed4d6	3
FCGR3A	7	7	#1ed4d6	3
FGA	12	12	#7c5005	2
FGB	16	16	#7c5005	2
FGG	18	18	#7c5005	2
FN1	7	7	#16d2a3	4
GPLD1	19	19	#16d2a3	4
AMBP	4	4	#1acf66	0
APOE	1	1	#16d2a3	4
GSN	26	26	#1acf66	0
HBB	1	1	#7929f1	5
HBA1	1	1	#7929f1	5
HGFAC	16	16	#7c5005	2
HP	20	20	#8e3cd8	1
CP	1	1	#8e3cd8	1
F11	1	1	#8e3cd8	1
HRG	7	7	#1ed4d6	3
IGFALS	17	17	#1acf66	0
ITIH1	26	26	#1acf66	0
ITIH2	27	27	#1ed4d6	3
ITIH3	19	19	#1ed4d6	3
ITIH4	16	16	#8e3cd8	1
KLKB1	17	17	#1ed4d6	3
KNG1	2	2	#1ed4d6	3
LBP	14	14	#7c5005	2
APOF	1	1	#7c5005	2
CLU	1	1	#7c5005	2
LCP1	2	2	#1ed4d6	3
LRG1	24	24	#16d2a3	4
LUM	8	8	#7c5005	2
MAN1A1	3	3	#16d2a3	4
ORM1	34	34	#7c5005	2
ORM2	21	21	#8e3cd8	1
PGLYRP2	32	32	#7c5005	2
APCS	1	1	#7c5005	2
PLG	1	1	#1ed4d6	3
PON1	17	17	#7c5005	2
PPBP	2	2	#8b2903	6
PF4	2	2	#8b2903	6
RBP4	20	20	#1acf66	0
PROC	2	2	#1acf66	0
SAA1	8	8	#7c5005	2
SELENOP	20	20	#7c5005	2
SERPINA10	2	2	#16d2a3	4
SERPINA1	13	13	#8e3cd8	1
SERPINA3	25	25	#7c5005	2
SERPINA4	19	19	#1acf66	0
SERPINA5	1	1	#1acf66	0
SERPINC1	13	13	#7c5005	2
SERPIND1	4	4	#1ed4d6	3
SERPING1	4	4	#8e3cd8	1
TF	27	27	#7c5005	2
THBS1	2	2	#8b2903	6
TTR	13	13	#1acf66	0
VWF	2	2	#7c5005	2
